input,expected_output
"What are the symptoms of diabetes?","Common symptoms of diabetes include increased thirst, frequent urination, extreme fatigue, blurred vision, slow-healing wounds, and unexplained weight loss."
"Explain the difference between Type 1 and Type 2 diabetes","Type 1 diabetes is an autoimmune condition where the body attacks insulin-producing cells. Type 2 diabetes occurs when the body becomes resistant to insulin or doesn't produce enough. Type 1 typically develops in childhood, while Type 2 is more common in adults."
"What is the recommended treatment for hypertension?","Treatment for hypertension includes lifestyle changes (diet, exercise, stress reduction), and medications such as ACE inhibitors, ARBs, calcium channel blockers, or diuretics. Target blood pressure is typically below 130/80 mmHg."
"What are common side effects of ibuprofen?","Common side effects of ibuprofen include stomach pain, nausea, dizziness, headache, and mild heartburn. Serious side effects can include stomach bleeding, kidney problems, and increased risk of heart attack or stroke with long-term use."
"How does a CT scan work?","A CT scan uses X-rays taken from multiple angles around the body, processed by a computer to create cross-sectional images (slices) of bones, blood vessels, and soft tissues. It provides more detailed information than standard X-rays."
"What is the normal range for blood glucose levels?","Normal fasting blood glucose is between 70-100 mg/dL. A level of 100-125 mg/dL indicates prediabetes, and 126 mg/dL or higher on two separate tests indicates diabetes."
"What causes seasonal allergies?","Seasonal allergies are caused by the immune system overreacting to outdoor allergens such as pollen from trees, grasses, and weeds. The body releases histamine and other chemicals, causing symptoms like sneezing, runny nose, and itchy eyes."
"What is cognitive behavioral therapy?","Cognitive behavioral therapy (CBT) is a form of psychotherapy that helps patients identify and change negative thought patterns and behaviors. It is effective for treating depression, anxiety, PTSD, and other mental health conditions."
"What is the recommended daily water intake?","The recommended daily water intake is about 3.7 liters for men and 2.7 liters for women (from all beverages and food). Individual needs vary based on activity level, climate, and health conditions."
"What are the stages of wound healing?","Wound healing occurs in four stages: 1) Hemostasis (blood clotting), 2) Inflammation (swelling and immune response), 3) Proliferation (new tissue growth), and 4) Remodeling (scar formation and strengthening)."
